City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
171,partur,19.6,76.2167,85.19,59,100,8.14,IN,1718505912
172,port mathurin,-19.6833,63.4167,75.2,66,100,15.46,MU,1718505912
173,al kharijah,25.4514,30.5464,89.47,28,0,18.03,EG,1718505913
174,tadine,-21.55,167.8833,74.5,57,49,9.24,NC,1718505913
175,mahina,-17.5065,-149.489,82.17,74,75,9.22,PF,1718505913
176,lumut,4.2323,100.6298,87.82,74,20,3.44,MY,1718505913
177,punta arenas,-53.15,-70.9167,28.51,86,20,12.66,CL,1718505913
178,la mira,18.035,-102.3266,79.93,88,17,5.03,MX,1718505914
179,katsuren-haebaru,26.3369,127.8719,81.37,92,100,13.8,JP,1718505914
180,nikol'sk,53.7189,46.0712,67.05,95,60,6.76,RU,1718505914
181,oriximina,-1.7656,-55.8661,77.92,80,86,3.42,BR,1718505914
182,shangzhi,45.2167,127.9667,64.58,81,93,6.15,CN,1718505914
183,san pedro pochutla,15.7333,-96.4667,82.11,88,64,4.47,MX,1718505914
184,quixada,-4.9714,-39.0153,71.58,96,100,6.26,BR,1718505915
185,eduardo castex,-35.915,-64.2945,56.44,47,97,6.71,AR,1718505915
186,avarua,-21.2078,-159.775,80.65,78,2,13.8,CK,1718505915
187,wajir,1.7471,40.0573,71.29,72,38,7.11,KE,1718505915
188,augusto correa,-1.0217,-46.635,71.8,100,24,1.12,BR,1718505915
189,hurghada,27.2574,33.8129,87.84,30,0,0.0,EG,1718505915
190,invercargill,-46.4,168.35,47.01,99,98,5.1,NZ,1718505916
191,nemuro,43.3236,145.575,58.12,94,88,12.88,JP,1718505916
192,ladario,-19.0047,-57.6017,76.53,49,61,1.72,BR,1718505916
193,kitui,-1.367,38.0106,59.65,66,90,2.93,KE,1718505916
194,christchurch,-43.5333,172.6333,56.32,61,57,11.5,NZ,1718505901
195,broome,42.2506,-75.833,54.32,90,5,4.14,US,1718505916
196,shakawe,-18.3667,21.85,44.22,46,0,5.41,BW,1718505917
197,siteki,-26.45,31.95,43.72,83,0,3.6,SZ,1718505917
198,klyuchi,52.2667,79.1667,76.69,61,94,6.98,RU,1718505917
199,flying fish cove,-10.4217,105.6791,82.08,83,100,10.36,CX,1718505917
200,yei,4.095,30.6779,67.66,93,98,1.95,SS,1718505917
201,dogonbadan,30.3586,50.7981,88.18,21,0,0.78,IR,1718505917
202,san lawrenz,36.0553,14.204,70.86,91,44,8.28,MT,1718505918
203,palangkaraya,-2.2,113.8333,88.05,54,43,4.23,ID,1718505918
